Pageload ID, navigationStart Timestamp, Pageload Duration, Website
36080fa9, 1607074551326.422, 17045.297411, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
6fb703b2, 1607074573474.181, 10564.138996, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
38d84c7c, 1607074589130.3306, 8989.854708, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
c05dc7f1, 1607074603166.5378, 14470.484647, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
b8e70f95, 1607074622661.53, 7354.607522, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
76afddf3, 1607074635043.2654, 11724.86108, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
53eaea53, 1607074651808.5432, 21750.710268, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
83627847, 1607074678585.347, 48341.73534, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
b590b062, 1607074732017.1401, 12244.148666, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
c0eb846f, 1607074749286.0808, 2086.804001, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
c56d6183, 1607074756417.3804, 10676.44241, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
