Pageload ID, navigationStart Timestamp, Pageload Duration, Website
23410289, 1607075040367.6187, 16390.350181, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
c4205fc5, 1607075061817.6428, 11248.876969, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
9cc76c2f, 1607075078090.0752, 8859.882645, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
f3979bd3, 1607075091976.6643, 11985.41823, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
26074061, 1607075109002.4626, 48118.060225, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
92750839, 1607075162251.464, 11323.729639, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
af7c2cb7, 1607075178669.7432, 1892.045149, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
322e9848, 1607075185645.1267, 15227.679254, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
97ea6c05, 1607075205890.186, 21637.561471, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
a57153b0, 1607075232558.5886, 7133.898636, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
10bb56cb, 1607075244714.9858, 9911.436815, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
