Pageload ID, navigationStart Timestamp, Pageload Duration, Website
7cef48a7, 1607068754847.092, 14165.387997, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
64087b8c, 1607068774097.7725, 13851.408227, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
979a4131, 1607068792985.8145, 15737.092295, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
9920ca51, 1607068813740.9585, 11906.450098, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
9d581db0, 1607068830665.962, 14972.546414, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
14978d14, 1607068850669.2292, 49920.395888, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
6dd174ec, 1607068905618.8218, 11145.312124, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
3dc110c7, 1607068921792.0474, 11707.612297, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
d27666dd, 1607068938554.4548, 9573.365152, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
a9196d57, 1607068953156.081, 1788.867035, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
7cfc2a5c, 1607068960045.7756, 21106.650463, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
