Pageload ID, navigationStart Timestamp, Pageload Duration, Website
065cca6f, 1607120758420.0613, 13553.164992, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
00c72a85, 1607120777039.7976, 26355.28923, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
d24d86b1, 1607120808458.0593, 6992.714311, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
43718035, 1607120820526.8826, 12658.980994, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
921d65e7, 1607120838237.9307, 11587.932839, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
4730e735, 1607120854855.7307, 12914.103378, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
bf54ed10, 1607120872808.984, 24081.853688, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
7e19a42a, 1607120901910.1768, 15549.501165, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
3460782c, 1607120922482.864, 2016.958045, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
5fcba84f, 1607120929547.8591, 11800.881334, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
6009789f, 1607120946381.9592, 10501.496303, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
