Pageload ID, navigationStart Timestamp, Pageload Duration, Website
68c3f34f, 1607155331747.3699, 10620.724521, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
fac3d62a, 1607155347402.6128, 15433.987635, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
8bffa50f, 1607155367873.4727, 1996.446758, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
546a2205, 1607155374903.5354, 11164.329041, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
3315c084, 1607155391115.222, 11350.263041, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
825ea3aa, 1607155407490.4177, 47684.075298, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
61076109, 1607155460268.6663, 8411.268918, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
f2cf8703, 1607155473711.5315, 11024.019418, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
3c72ec2d, 1607155489765.272, 20387.576414, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
3f355112, 1607155515181.5222, 13263.928606, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
df59f001, 1607155533484.7231, 10021.283273, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
