Pageload ID, navigationStart Timestamp, Pageload Duration, Website
74e62f8c, 1607111845222.1445, 25903.180308, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
a6a4d49f, 1607111876165.6658, 15891.066579, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
45ce6816, 1607111897078.6304, 48970.654616, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
9607ea0b, 1607111951079.571, 9329.401856, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
93001fc0, 1607111965531.895, 11753.357937, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
c44f64f3, 1607111982313.1843, 11556.568447, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
21541acd, 1607111998937.9626, 13505.923143, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
69e1b08c, 1607112017472.653, 1951.241821, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
a77893b7, 1607112024470.4702, 9516.732971, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
fd7f761c, 1607112039025.536, 6754.199287, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
60bf6e8f, 1607112050877.8235, 15402.75452, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
