Pageload ID, navigationStart Timestamp, Pageload Duration, Website
79419ee1, 1607110489354.3445, 51330.62461, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
8a186856, 1607110545782.963, 11455.005093, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
6d60e1cc, 1607110562288.8098, 15203.992322, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
36ccb5f2, 1607110582516.0557, 1958.755342, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
858ee4a0, 1607110589517.6958, 19738.935241, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
b4493877, 1607110614328.9087, 10902.079274, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
da436bac, 1607110630279.5674, 7192.625997, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
06e405ab, 1607110642502.812, 10216.995218, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
cd47a6a9, 1607110657744.3508, 12964.757442, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
a2f8fc79, 1607110675770.189, 9376.614497, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
884f34be, 1607110690179.8362, 9914.726824, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
