Pageload ID, navigationStart Timestamp, Pageload Duration, Website
4ca2207a, 1607109518199.0378, 10290.361903, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
d9bcea6b, 1607109533539.654, 10964.778062, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
7c172924, 1607109549557.0662, 10765.239538, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
dfe8ae48, 1607109565351.156, 12370.979564, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
f013ec79, 1607109582742.1729, 48979.512217, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
fb53696a, 1607109636833.9355, 19978.970705, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
3fc34164, 1607109661861.8174, 13191.155853, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
cbe5ec41, 1607109680110.0315, 14536.606515, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
a9de1343, 1607109699697.5466, 9661.783045, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
4e563248, 1607109714392.9983, 2111.762514, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
827c0d23, 1607109721593.9502, 8559.286447, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
