Pageload ID, navigationStart Timestamp, Pageload Duration, Website
cede4247, 1607102720796.8662, 16083.363893, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
547dee87, 1607102741896.9482, 23269.159941, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
d8516098, 1607102770242.1843, 16284.151877, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
3c6dc076, 1607102791552.3237, 1890.086409, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
7ffdf8d1, 1607102798484.7134, 14810.510028, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
990e51d5, 1607102818342.0222, 46495.019047, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
274d045b, 1607102869851.3892, 11545.229606, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
fb85eb75, 1607102886431.3503, 6853.032324, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
c0ddc9d8, 1607102898326.045, 8611.050313, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
7f7fbfb3, 1607102912003.3606, 11109.954855, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
364cb1c9, 1607102928167.589, 11461.682647, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
