Pageload ID, navigationStart Timestamp, Pageload Duration, Website
110a12b2, 1607102969050.367, 54140.247386, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
84b0a8e6, 1607103028214.6633, 14767.968752, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
b5649524, 1607103048024.0967, 2273.032449, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
0e6693fa, 1607103055334.9653, 23362.982597, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
c3caec94, 1607103083725.646, 17012.851556, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
24a6a662, 1607103105796.5317, 10498.961337, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
eb0d7064, 1607103121367.9531, 9681.45289, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
d0dca008, 1607103136077.0774, 12028.464676, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
e588c448, 1607103153148.099, 11248.456909, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
e4e9d125, 1607103169464.4343, 11694.466222, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
4aa938e7, 1607103186201.3706, 7221.346388, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
