Pageload ID, navigationStart Timestamp, Pageload Duration, Website
cdd1cbef, 1607103223183.8574, 15034.802808, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
76e9eca6, 1607103243239.531, 48409.421083, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
c36afc91, 1607103296780.5488, 12548.950629, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
6369263f, 1607103314350.081, 14567.971256, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
27ccf742, 1607103333978.3303, 9818.122072, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
cdf0676a, 1607103348828.0906, 1918.18784, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
37be8b5f, 1607103355795.3237, 6483.894868, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
fbf75bd5, 1607103367321.6829, 14279.508487, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
b1285000, 1607103386626.2192, 23593.770837, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
036f0410, 1607103415266.3962, 10210.543777, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
27540ca9, 1607103430504.6375, 12143.720689, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
