Pageload ID, navigationStart Timestamp, Pageload Duration, Website
77990fe3, 1607137638454.8281, 10334.089129, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
57719ddf, 1607137653821.7131, 11388.668718, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
075ca0be, 1607137670226.3757, 13561.161478, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
b852022c, 1607137688828.3977, 8733.62428, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
bc745962, 1607137702576.4517, 10928.739198, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
b420a193, 1607137718554.0615, 1921.826072, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
d54d1fd7, 1607137725545.926, 10406.177859, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
9396af65, 1607137740974.015, 49998.744043, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
6cda4f08, 1607137796155.9448, 16002.965831, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
0d735e89, 1607137817189.371, 9155.06259, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
f8ced64e, 1607137831440.3228, 22577.917693, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
