Pageload ID, navigationStart Timestamp, Pageload Duration, Website
0a34f2e7, 1607146728477.4565, 20154.59579, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
3284381a, 1607146753650.083, 12776.700959, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
970f2440, 1607146771455.8567, 23143.949596, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
c60b5552, 1607146799651.0647, 11633.517524, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
07139cfd, 1607146816302.0918, 13293.660559, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
76ba5231, 1607146834618.3767, 7275.361248, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
51b76739, 1607146846924.4646, 50129.498084, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
ec11ebee, 1607146902245.9302, 15029.03658, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
5694174b, 1607146922316.1313, 9493.641705, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
dfd18dcb, 1607146936834.8052, 9795.164284, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
d7a9b82f, 1607146951688.9531, 2296.15075, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
