Pageload ID, navigationStart Timestamp, Pageload Duration, Website
d01a8f03, 1607134002833.4578, 18941.681407, http://tucunare.cs.pitt.edu:8080/youtube/www.youtube.com/watch07c3.html
2b15f700, 1607134026811.227, 11853.102506, http://tucunare.cs.pitt.edu:8080/msn/www.msn.com/index.html
98c55de8, 1607134043685.1206, 48758.035031, http://tucunare.cs.pitt.edu:8080/espn/espn.go.com/index.html
42b013a1, 1607134097578.9827, 12976.115859, http://tucunare.cs.pitt.edu:8080/twitter/twitter.com/index.html
38e4905e, 1607134115617.5413, 1983.956684, http://tucunare.cs.pitt.edu:8080/google/www.google.com/index.html
e24274ed, 1607134122643.4243, 10225.693026, http://tucunare.cs.pitt.edu:8080/ebay/www.ebay.com/index.html
a0078150, 1607134137895.9817, 24643.002222, http://tucunare.cs.pitt.edu:8080/cnn/www.cnn.com/index.html
28f5c70c, 1607134167595.8523, 7059.759298, http://tucunare.cs.pitt.edu:8080/craigslist/newyork.craigslist.org/index.html
ed7ca57d, 1607134179703.4424, 8796.186724, http://tucunare.cs.pitt.edu:8080/amazon/www.amazon.com/index.html
6971398c, 1607134193598.4539, 12750.229303, http://tucunare.cs.pitt.edu:8080/slashdot/slashdot.org/index.html
6f814a7a, 1607134211367.159, 16991.593472, http://tucunare.cs.pitt.edu:8080/bbc/www.bbc.co.uk/index.html
